iter	RMSE
385	1.718597314
386	1.718227982
387	1.717834514
388	1.717412883
389	1.716977844
390	1.716602173
391	1.716205439
392	1.715904884
393	1.715718889
394	1.715365257
395	1.715025719
396	1.714619474
397	1.714458768
398	1.714259516
399	1.713980337
400	1.713727032
401	1.713269426
402	1.712841986
403	1.712491747
404	1.712054482
405	1.711771673
406	1.711594771
407	1.711285718
408	1.710895296
409	1.710621303
410	1.710359792
411	1.709989253
412	1.709615319
413	1.709303323
414	1.709021347
415	1.708757556
416	1.708566858
417	1.708337012
418	1.707952368
419	1.707565437
420	1.707340526
421	1.707052503
422	1.706574026
423	1.70635043
424	1.706092922
425	1.70583683
426	1.705386554
427	1.705162702
428	1.704727005
429	1.704343792
430	1.703820304
431	1.703601419
432	1.703273979
433	1.703068336
434	1.702776476
435	1.702458901
436	1.702163357
437	1.701889244
438	1.701599262
439	1.701324312
440	1.701094105
441	1.700831552
442	1.700537785
443	1.700202174
444	1.699918324
445	1.699536305
446	1.699110684
447	1.698918325
448	1.698639963
449	1.698201958
450	1.69801578
451	1.697783841
452	1.697457661
453	1.697166222
454	1.696854636
455	1.69662246
456	1.696393451
457	1.696235203
458	1.696012383
459	1.695769184
460	1.695437724
461	1.695137719
462	1.695000301
463	1.694539347
464	1.694200051
465	1.693971714
466	1.693822117
467	1.693447771
468	1.692994365
469	1.692658893
470	1.692375203
471	1.692188757
472	1.69192473
473	1.691769299
474	1.691537041
475	1.69135793
476	1.691114875
477	1.690796256
478	1.69047049
479	1.690165887
480	1.689923591
481	1.689629886
482	1.68937576
483	1.688975523
484	1.688787149
485	1.688544274
486	1.688360447
487	1.687938388
488	1.687815065
489	1.687645895
490	1.687314802
491	1.6870064
492	1.68670593
493	1.686441764
494	1.686148987
495	1.685715209
496	1.685332893
497	1.685068002
498	1.684831147
499	1.684632495
500	1.684398157
501	1.684151504
502	1.68392407
503	1.683657217
504	1.683424509
505	1.683117846
506	1.682858048
507	1.682634466
508	1.682464238
509	1.682215547
510	1.681938449
511	1.68159103
512	1.681308165
513	1.68097765
514	1.68070805
515	1.680480775
516	1.680205995
517	1.679876042
518	1.679670674
519	1.679206652
520	1.678989898
521	1.678663409
522	1.678355619
523	1.67807628
524	1.677780026
525	1.677589258
526	1.67737452
527	1.677164144
528	1.676785393
529	1.676593846
530	1.676322876
531	1.676186258
532	1.675994461
533	1.675729712
534	1.675444218
535	1.675134923
536	1.674987347
537	1.674625243
538	1.674249124
539	1.673988518
540	1.673602496
541	1.67336383
542	1.673172809
543	1.672997966
544	1.672633539
545	1.672449131
546	1.672278227
547	1.672100522
548	1.672024864
549	1.671721921
550	1.671401569
551	1.671036236
552	1.670840669
553	1.670684795
554	1.670484734
555	1.670241372
556	1.670009356
557	1.669718038
558	1.669475613
559	1.669235191
560	1.669018581
561	1.668640881
562	1.66825352
563	1.668009608
564	1.667816104
565	1.667658736
566	1.667219112
567	1.666997691
568	1.666785419
569	1.666485764
570	1.666304171
571	1.666054404
572	1.665561505
573	1.665352772
574	1.665130589
575	1.664947702
576	1.664656425
577	1.66436382
578	1.66405827
579	1.663706897
580	1.663528518
581	1.663347225
582	1.663196604
583	1.663058105
584	1.66289629
585	1.662686484
586	1.662513988
587	1.662204091
588	1.661904538
589	1.661730384
590	1.661501297
591	1.661181545
592	1.660891552
593	1.660664315
594	1.660398721
595	1.660163625
596	1.659925801
597	1.659721436
598	1.659446451
599	1.659139394
600	1.658861282
601	1.658682531
602	1.658460905
603	1.658219131
604	1.657952744
605	1.657620686
606	1.657464563
607	1.65715415
608	1.656980644
609	1.656764031
610	1.656673238
611	1.656482464
612	1.656100774
613	1.655941647
614	1.655713115
615	1.655567261
616	1.65534737
617	1.655115787
618	1.654781018
619	1.654604486
620	1.654449012
621	1.654048864
622	1.653940942
623	1.653719369
624	1.653437715
625	1.653115616
626	1.65280561
627	1.652615338
628	1.652449141
629	1.652144673
630	1.651874603
631	1.65173333
632	1.651588816
633	1.651340707
634	1.65117363
635	1.650900253
636	1.650665693
637	1.650436749
638	1.650094681
639	1.649814223
640	1.64952086
641	1.649317788
642	1.648967332
643	1.648717523
644	1.648526826
645	1.6481806
646	1.647949813
647	1.647819802
648	1.647590643
649	1.647399389
650	1.647175251
651	1.646997912
652	1.646865039
653	1.646583978
654	1.646290595
655	1.646039501
656	1.645765432
657	1.645382047
658	1.645200801
659	1.64508696
660	1.644621213
661	1.644422467
662	1.644313654
663	1.644150445
664	1.643987558
665	1.643758059
666	1.643458664
667	1.643246255
668	1.643018959
669	1.642800998
670	1.642661546
671	1.642392749
672	1.642224093
673	1.641957387
674	1.641739934
675	1.641416233
676	1.641300233
677	1.641096125
678	1.640929023
679	1.640708252
680	1.640570044
681	1.64031231
682	1.640116979
683	1.639930799
684	1.63971856
685	1.63953091
686	1.639315968
687	1.639154953
688	1.6389836
689	1.638851928
690	1.638586003
691	1.638359039
692	1.638033024
693	1.637740501
694	1.637467619
695	1.637247916
696	1.636913448
697	1.636709215
698	1.636422086
699	1.636247453
700	1.636006017
701	1.635791762
702	1.635510566
703	1.635283395
704	1.635055388
705	1.634945409
706	1.634835397
707	1.634578127
708	1.634310884
709	1.634188244
710	1.633975158
711	1.633675773
712	1.633456164
713	1.633329196
714	1.633070334
715	1.632732809
716	1.632584587
717	1.632451312
718	1.632199038
719	1.632056485
720	1.631850218
721	1.631633625
722	1.631389825
723	1.631278196
724	1.631054537
725	1.630788491
726	1.630586675
727	1.630452689
728	1.630129032
729	1.629991076
730	1.629860684
731	1.629688727
732	1.629476385
733	1.629271805
734	1.628933827
735	1.628687956
736	1.628515418
737	1.628265034
738	1.627965885
739	1.627813418
740	1.627601065
741	1.627412984
742	1.627227245
743	1.627089052
744	1.626866887
745	1.626730622
746	1.626481515
747	1.626310295
748	1.626081382
749	1.6259577
750	1.625815336
751	1.625545707
752	1.625346728
753	1.62518043
754	1.625058173
755	1.624780016
756	1.624677802
757	1.624444403
758	1.624299601
759	1.624137555
760	1.623804742
761	1.623615196
762	1.623536854
763	1.623365564
764	1.623190292
765	1.622901667
766	1.622644631
767	1.622397811
768	1.622173482
769	1.622012329
770	1.621824579
771	1.621660067
772	1.621507529
773	1.621334283
774	1.621125637
775	1.620953529
776	1.620652244
777	1.620456931
778	1.620286485
779	1.619962411
780	1.619650091
781	1.619586737
782	1.619467395
783	1.6191732
784	1.619018014
785	1.618791501
786	1.618598932
787	1.618425141
788	1.618261644
789	1.618103683
790	1.617878716
791	1.617583235
792	1.617434461
793	1.617248782
794	1.616985038
795	1.616806595
796	1.616536724
797	1.616449243
798	1.616203316
799	1.615928774
800	1.615761582
801	1.615632567
802	1.61535021
803	1.615244541
804	1.61497628
805	1.614797411
806	1.614637142
807	1.614502428
808	1.614343528
809	1.614111745
810	1.613957478
811	1.613728731
812	1.613550487
813	1.613397273
814	1.613131437
815	1.612933388
816	1.612712615
817	1.612531101
818	1.612387919
819	1.612244375
820	1.612006863
821	1.61180357
822	1.611685266
823	1.611504047
824	1.611328168
825	1.611161
826	1.611040861
827	1.610671294
828	1.610390642
829	1.61021895
830	1.609997116
831	1.609833069
832	1.609539389
833	1.60939718
834	1.609223942
835	1.609076118
836	1.608842136
837	1.608654867
838	1.608466696
839	1.608358076
840	1.608171065
841	1.608043994
842	1.60786337
843	1.607719759
844	1.607474951
845	1.607240996
846	1.607151232
847	1.606914441
848	1.606661586
849	1.606446052
850	1.606261423
851	1.606126194
852	1.606027046
853	1.605825156
854	1.605697821
855	1.605486613
856	1.605316167
857	1.605208275
858	1.60510938
859	1.604944364
860	1.604808561
861	1.604559505
862	1.604433617
863	1.604166479
864	1.603978378
865	1.603689153
866	1.603508792
867	1.603257853
868	1.603075534
869	1.602895803
870	1.60268722
871	1.602304432
872	1.602154759
873	1.601929498
874	1.601655
875	1.601371341
876	1.601157918
877	1.601003598
878	1.600845384
879	1.600599696
880	1.600450455
881	1.600357309
882	1.600083948
883	1.599888407
884	1.599618416
885	1.599411667
886	1.599257163
887	1.599065351
888	1.598926102
889	1.598818301
890	1.598688585
891	1.598566481
892	1.598323923
893	1.598246804
894	1.598104829
895	1.597812381
896	1.597640093
897	1.597473601
898	1.597290784
899	1.597116976
900	1.596843998
901	1.596588266
902	1.596366084
903	1.596237991
904	1.595971619
905	1.595853168
906	1.595552564
907	1.595459226
908	1.595338177
909	1.595182392
910	1.595018792
911	1.594868406
912	1.594678006
913	1.594458846
914	1.594336652
915	1.594040472
916	1.59374009
917	1.593597397
918	1.593451877
919	1.593303945
920	1.593045005
921	1.592882737
922	1.592786046
923	1.592546426
924	1.592304798
925	1.592207859
926	1.592052719
927	1.591864193
928	1.591756464
929	1.591537481
930	1.591279947
931	1.591050794
932	1.590943513
933	1.590725806
934	1.590494522
935	1.590344384
936	1.590245901
937	1.59000249
938	1.589878163
939	1.589627901
940	1.589371118
941	1.589287957
942	1.58899036
943	1.588863133
944	1.588679961
945	1.588495141
946	1.588351659
947	1.588179904
948	1.588042209
949	1.587934206
950	1.58761856
951	1.587369619
952	1.58725474
953	1.587067158
954	1.586957181
955	1.586616159
956	1.586279644
957	1.586062204
958	1.585798807
959	1.585538711
960	1.585325602
961	1.585133219
962	1.584911502
963	1.584726728
964	1.584440412
965	1.584296773
966	1.584091896
967	1.583835281
968	1.583642591
969	1.583447608
970	1.583245543
971	1.58314893
972	1.583009886
973	1.582722337
974	1.582495671
975	1.582238839
976	1.581971226
977	1.581655175
978	1.581421011
979	1.581240765
980	1.58108408
981	1.580910518
982	1.58073447
983	1.580541488
984	1.580386891
985	1.580196398
986	1.580002454
987	1.579884972
988	1.579565882
989	1.579434175
990	1.579319725
991	1.579093917
992	1.578950578
993	1.578808718
994	1.578641469
995	1.578407019
996	1.578140965
997	1.577975588
998	1.577736268
999	1.577601497
